seller_id,avg_review_score,avg_delivery_delay,total_revenue,order_count,on_time_rate,performance_score
0015a82c2db000af6aaaf3ae2ecb0532,3.6666666666666665,-15.593379629629627,2748.06,3,100.0,70.77777777777779
00720abe85ba0859807595bbf045a33b,3.6538461538461537,-12.015145566239315,1323.48,13,92.3076923076923,70.76407309165934
00ab3eff1b5192e5f1a63bcecfee11c8,5.0,-9.461099537037038,110.08,1,100.0,70.00006140066127
00d8b143d12632bad99c0ad66ad52825,5.0,-21.296087962962964,137.1,1,100.0,70.00006140066127
010543a62bd80aa422851e79a3bc7540,4.5,-7.753888888888889,1447.95,2,100.0,71.49999999999997
01266d4c46afa519678d16a8b683d325,5.0,-8.601331018518518,137.48,3,100.0,70.00006140066127
013900e863eace745d3ec7614cab5b1a,4.730769230769231,-15.359030448717949,2089.37,23,100.0,71.61342894393741
014c0679dd340a0e338872e7ec85666a,3.6666666666666665,-11.052038580246911,7686.31,14,86.66666666666667,70.77777777777779
014d9a685fd57276679edd00e07089e5,3.8333333333333335,-11.917173032407408,876.81,11,100.0,70.95029239766082
0176f73cc1195f367f7b32db1e5b3aa8,4.052631578947368,-8.081136391325536,5915.27,37,89.47368421052632,71.15914786967414
01bcc9d254a0143f0ce9791b960b2a47,4.4,-17.622724537037037,1644.69,10,100.0,71.43589743589745
01c97ebb5cdac52891c0ed1c37ba0012,4.083333333333333,-8.55819637345679,756.0,9,100.0,71.18650793650798
01ed254b9ff8407dfb9d99ba1e17d923,5.0,-16.234027777777776,1533.71,5,100.0,70.00006140066127
01fd077212124329bac32490e8ef80d9,4.307692307692308,-11.213219076448244,1783.36,31,97.43589743589745,71.36996336996339
0249d282d911d23cb8b869ab49c99f53,4.2727272727272725,-7.5322874579124575,531.88,11,81.81818181818183,71.3434343434343
028872bfa080090a9d0abd4f1af168f8,5.0,-14.136261574074076,117.87,1,100.0,70.00006140066127
02b72cdeb9cfcc429f1af6f4e3f3b737,4.75,-8.285228587962962,748.6400000000001,4,100.0,71.62037037037034
02c988090b766852e088c69d7fb3b551,4.6875,-10.20750289351852,1770.94,12,100.0,71.59628378378378
02ecc2a19303f05e59ce133fd923fff7,4.541666666666667,-14.31782455632716,5742.4,21,100.0,71.52424670433142
02f5837340d7eb4f653d676c7256523a,4.833333333333333,-16.664940972222222,4463.88,30,96.66666666666669,71.64529914529913
0307f7565ff85b299b6e5ef162b1b1a9,3.5,-16.086398533950618,4968.889999999999,6,100.0,70.5952380952381
034b9387752bfa309f350a70cd45ffa3,4.5,-14.651976273148149,240.26,8,100.0,71.49999999999997
039b29ff3b3473435d0cd59040575de9,4.444444444444445,-9.961698816872428,215.55,9,100.0,71.46537842190016
03a2a6dcbe45d639c4dc2a0d24769c40,4.111111111111111,-11.9935558127572,1250.66,9,88.88888888888889,71.2108262108262
04aa0a1c5ce6b222003403a3e11c3cc0,3.5294117647058822,-15.898511710239651,6339.51,11,88.23529411764706,70.62811565304088
04aba03279157f6d4e0fe8ccaf21963c,4.533333333333333,-13.255569444444443,2735.23,15,93.33333333333331,71.51951951951952
04e38a233f726ef161074ab1c9b0399a,4.166666666666667,-5.191929976851852,1347.27,19,87.5,71.25816993464046
04ee0ec01589969663ba5967c0e0bdc0,5.0,-12.453877314814816,314.32,1,100.0,70.00006140066127
04fdea0c111866e6cf812f1570d6b5bd,3.5,-9.533265335648148,1038.35,8,87.5,70.5952380952381
052577151711aec5c744fe12e66db3e1,5.0,-11.191400462962964,729.65,1,100.0,70.00006140066127
0570350b23eda5444f8d1d9544932058,5.0,-12.38238425925926,751.76,6,100.0,70.00006140066127
05730013efda596306417c3b09302475,5.0,-10.727526041666668,1168.67,4,100.0,70.00006140066127
058cb5aeb36d7c0fcae20fc85d5e0a59,3.583333333333333,-10.80659239969136,1983.82,11,91.66666666666666,70.68766937669385
05a48cc8859962767935ab9087417fbb,5.0,-17.21957175925926,59.39,1,100.0,70.00006140066127
05a940b4ecae36cadfd8e93bd9c43257,4.222222222222222,-14.193740997942388,864.1,9,100.0,71.30370370370372
05feb94f19d094d4b0f9281f0b1d4c99,4.5,-12.475007716049385,10050.04,6,100.0,71.49999999999997
062c325cd6a2b87845fab56b4ec2eeae,5.0,-8.809195601851851,157.08,2,100.0,70.00006140066127
06532f10282704ef4c69168b914b77be,4.625,-12.370888310185183,10460.75,7,100.0,71.56798245614033
06bb3a2fe5e7b7a845b13e8fb91bd944,4.611111111111111,-13.093602752057611,1862.33,17,100.0,71.56115417743322
06df0c10d34e459d9672bc77388742eb,4.366666666666666,-13.962750771604938,9595.77,26,90.0,71.41279887482416
070d165398b553f3b4b851c216b8a358,3.5405405405405403,-8.428133528265107,4301.11,31,86.8421052631579,70.64048423423424
